MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
B00002552330,C57BL/6J,2307,3A,N6,370-F,8/22/23,F,CHOW,,,,,29.34,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552329,C57BL/6J,2308,3A,M6,370-F,8/22/23,F,CHOW,,,,,32.71,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552328,C57BL/6J,2309,3A,M2,370-F,8/22/23,F,CHOW,,,,,31.74,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552327,C57BL/6J,2310,3A,N1,370-F,8/22/23,F,CHOW,,,,,36.95,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552326,C57BL/6J,2311,3A,H1,370-F,8/22/23,F,CHOW,,,,,40.51,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552325,C57BL/6J,2312,6A,N5,370-F,8/22/23,F,CHOW,,,,,40.07,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552324,C57BL/6J,2313,6A,I5,370-F,8/22/23,F,CHOW,,,,,38.2,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552323,C57BL/6J,2314,6A,K4,370-F,8/22/23,F,CHOW,,,,,34.27,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552322,C57BL/6J,2315,6A,J4,370-F,8/22/23,F,CHOW,,,,,42.02,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552321,C57BL/6J,2316,6A,I4,370-F,8/22/23,F,CHOW,,,,,45.39,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552320,C57BL/6J,2317,6A,H4,370-F,8/22/23,F,CHOW,,,,,29.42,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552319,C57BL/6J,2318,6A,J3,370-F,8/22/23,F,CHOW,,,,,33.13,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552318,C57BL/6J,2319,6A,I3,370-F,8/22/23,M,CHOW,,,,,45.6,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552317,C57BL/6J,2320,6A,H3,370-F,8/22/23,M,CHOW,,,,,34.07,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
B00002552316,C57BL/6J,2321,6A,N2,370-F,8/22/23,M,CHOW,,,,,55.4,1/9/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2112A39694
