MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
B00002552330,C57BL/6J,2307,3A,N6,370-F,,F,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552329,C57BL/6J,2308,3A,M6,370-F,,F,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552328,C57BL/6J,2309,3A,M2,370-F,,F,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552327,C57BL/6J,2310,3A,N1,370-F,,F,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552326,C57BL/6J,2311,3A,H1,370-F,,F,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552325,C57BL/6J,2312,6A,N5,370-F,,F,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552324,C57BL/6J,2313,6A,I5,370-F,,F,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552323,C57BL/6J,2314,6A,K4,370-F,,F,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552322,C57BL/6J,2315,6A,J4,370-F,,F,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552321,C57BL/6J,2316,6A,I4,370-F,,F,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552320,C57BL/6J,2317,6A,H4,370-F,,F,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552319,C57BL/6J,2318,6A,J3,370-F,,F,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552318,C57BL/6J,2319,6A,I3,370-F,,M,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552317,C57BL/6J,2320,6A,H3,370-F,,M,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552316,C57BL/6J,2321,6A,N2,370-F,,M,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552315,C57BL/6J,2322,6A,J2,370-F,,M,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552314,C57BL/6J,2323,6A,I2,370-F,,M,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552313,C57BL/6J,2324,6A,H2,370-F,,M,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552312,C57BL/6J,2325,6A,M1,370-F,,M,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552311,C57BL/6J,2326,6A,L1,370-F,,M,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552310,C57BL/6J,2327,6A,K1,370-F,,M,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552309,C57BL/6J,2328,6A,J1,370-F,,M,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552308,C57BL/6J,2329,6A,I1,370-F,,M,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
B00002552307,C57BL/6J,2330,6A,H1,370-F,,M,CHOW,,,,,,1/8/25,INDIVIDUALLY_HOUSED_AND_ECHO_MRI,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,2112A39694
