MICE_ID_RAR_INDIVIDUAL,ID,STRAIN,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE_RECORDING,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
,9432,CD-1,6A,,370-F,12/31/25,F,HFD,,,,1/23/26,FIRST DAY OF DIET,22.44,NO,D12451i,,,,,,2409-42370A
,9433,CD-1,6A,,370-F,12/31/25,F,HFD,,,,1/23/26,FIRST DAY OF DIET,18.09,NO,D12451i,,,,,,2409-42370A
,9437,CD-1,6A,,370-F,12/31/25,M,HFD,,,,1/23/26,FIRST DAY OF DIET,18.57,NO,D12451i,,,,,,2409-42370A
,9441,CD-1,6A,,370-F,12/31/25,M,HFD,,,,1/23/26,FIRST DAY OF DIET,18.89,NO,D12451i,,,,,,2409-42370A
,9449,CD-1,6A,,370-F,12/31/25,F,HFD,,,,1/23/26,FIRST DAY OF DIET,21.56,NO,D12451i,,,,,,2409-42370A
,9451,CD-1,6A,,370-F,12/31/25,M,HFD,,,,1/23/26,FIRST DAY OF DIET,22.73,NO,D12451i,,,,,,2409-42370A
,9452,CD-1,6A,,370-F,12/31/25,M,HFD,,,,1/23/26,FIRST DAY OF DIET,19.98,NO,D12451i,,,,,,2409-42370A
,9454,CD-1,6A,,370-F,1/2/26,M,HFD,,,,1/23/26,FIRST DAY OF DIET,20.85,NO,D12451i,,,,,,2409-42370A
,9455,CD-1,6A,,370-F,1/2/26,F,HFD,,,,1/23/26,FIRST DAY OF DIET,18.03,NO,D12451i,,,,,,2409-42370A
,9436,CD-1,6A,,370-F,12/31/25,F,LFD,,,,1/23/26,FIRST DAY OF DIET,22.07,NO,D12450Hi,,,,,,2409-42370A
,9438,CD-1,6A,,370-F,12/31/25,M,LFD,,,,1/23/26,FIRST DAY OF DIET,19.37,NO,D12450Hi,,,,,,2409-42370A
,9439,CD-1,6A,,370-F,12/31/25,M,LFD,,,,1/23/26,FIRST DAY OF DIET,21.54,NO,D12450Hi,,,,,,2409-42370A
,9443,CD-1,6A,,370-F,12/31/25,F,LFD,,,,1/23/26,FIRST DAY OF DIET,20.3,NO,D12450Hi,,,,,,2409-42370A
,9444,CD-1,6A,,370-F,12/31/25,F,LFD,,,,1/23/26,FIRST DAY OF DIET,25.06,NO,D12450Hi,,,,,,2409-42370A
,9450,CD-1,6A,,370-F,12/31/25,M,LFD,,,,1/23/26,FIRST DAY OF DIET,21.75,NO,D12450Hi,,,,,,2409-42370A
,9453,CD-1,6A,,370-F,12/31/25,M,LFD,,,,1/23/26,FIRST DAY OF DIET,20.23,NO,D12450Hi,,,,,,2409-42370A
,9456,CD-1,6A,,370-F,1/2/26,F,LFD,,,,1/23/26,FIRST DAY OF DIET,19.79,NO,D12450Hi,,,,,,2409-42370A
,9432,CD-1,6A,,370-F,12/31/25,F,HFD,22.44,12.21,,1/26/26,,12.65,NO,D12451i,,,,,,2409-42370A
,9433,CD-1,6A,,370-F,12/31/25,F,HFD,18.09,6.5,,1/26/26,,14.6,NO,D12451i,,,,,,2409-42370A
,9437,CD-1,6A,,370-F,12/31/25,M,HFD,18.57,9.75,,1/26/26,,12.37,NO,D12451i,,,,,,2409-42370A
,9441,CD-1,6A,,370-F,12/31/25,M,HFD,18.89,7.91,,1/26/26,,14.29,NO,D12451i,,,,,,2409-42370A
,9449,CD-1,6A,,370-F,12/31/25,F,HFD,21.56,15.22,,1/26/26,,12.77,NO,D12451i,,,,,,2409-42370A
,9451,CD-1,6A,,370-F,12/31/25,M,HFD,22.73,13.35,,1/26/26,,15.03,NO,D12451i,,,,,,2409-42370A
,9452,CD-1,6A,,370-F,12/31/25,M,HFD,19.98,9.61,,1/26/26,,13.61,NO,D12451i,,,,,,2409-42370A
,9454,CD-1,6A,,370-F,1/2/26,M,HFD,20.85,10.95,,1/26/26,,15.17,NO,D12451i,,,,,,2409-42370A
,9455,CD-1,6A,,370-F,1/2/26,F,HFD,18.03,7.03,,1/26/26,,14.11,NO,D12451i,,,,,,2409-42370A
,9436,CD-1,6A,,370-F,12/31/25,F,LFD,22.07,12.27,,1/26/26,,14.98,NO,D12450Hi,,,,,,2409-42370A
,9438,CD-1,6A,,370-F,12/31/25,M,LFD,19.37,11.06,,1/26/26,,13.25,NO,D12450Hi,,,,,,2409-42370A
,9439,CD-1,6A,,370-F,12/31/25,M,LFD,21.54,15.12,,1/26/26,,12.26,NO,D12450Hi,,,,,,2409-42370A
,9443,CD-1,6A,,370-F,12/31/25,F,LFD,20.3,10.66,,1/26/26,,14.93,NO,D12450Hi,,,,,,2409-42370A
,9444,CD-1,6A,,370-F,12/31/25,F,LFD,25.06,16.4,,1/26/26,,14.88,NO,D12450Hi,,,,,,2409-42370A
,9450,CD-1,6A,,370-F,12/31/25,M,LFD,21.75,15.33,,1/26/26,,15.28,NO,D12450Hi,,,,,,2409-42370A
,9453,CD-1,6A,,370-F,12/31/25,M,LFD,20.23,9.22,,1/26/26,,14.58,NO,D12450Hi,,,,,,2409-42370A
