MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
B00002513706,NZO/HlLtJ,3706,3A,I1,370-F,9/17/24,F,CHOW,5.5,,342.87,,26.02,10/25/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513707,NZO/HlLtJ,3707,3A,J1,370-F,9/17/24,F,CHOW,5.5,,276.65,,26.07,10/25/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513708,NZO/HlLtJ,3708,3A,K1,370-F,9/17/24,F,CHOW,5.5,,293.26,,29.33,10/25/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513709,NZO/HlLtJ,3709,3A,L1,370-F,9/17/24,F,CHOW,5.5,,303.11,,27.03,10/25/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513710,NZO/HlLtJ,3710,3A,M1,370-F,9/17/24,F,CHOW,5.5,,287.39,,26.98,10/25/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513711,NZO/HlLtJ,3711,3A,L2,370-F,9/17/24,F,CHOW,5.5,,317.03,,30.45,10/25/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513712,NZO/HlLtJ,3712,3A,K3,370-F,9/17/24,F,CHOW,5.5,,310,,31.49,10/25/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513713,NZO/HlLtJ,3713,3A,L3,370-F,9/17/24,F,CHOW,5.5,,250.35,,26.33,10/25/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513714,NZO/HlLtJ,3714,3A,M3,370-F,9/17/24,F,CHOW,5.5,,316.46,,28.78,10/25/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513715,NZO/HlLtJ,3715,3A,N3,370-F,9/17/24,F,CHOW,5.5,,305.48,,28.43,10/25/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513706,NZO/HlLtJ,3706,3A,I1,370-F,9/17/24,F,CHOW,6,,342.87,330,,10/28/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513707,NZO/HlLtJ,3707,3A,J1,370-F,9/17/24,F,CHOW,6,,276.65,260,,10/28/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513708,NZO/HlLtJ,3708,3A,K1,370-F,9/17/24,F,CHOW,6,,293.26,281,,10/28/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513709,NZO/HlLtJ,3709,3A,L1,370-F,9/17/24,F,CHOW,6,,303.11,291,,10/28/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513710,NZO/HlLtJ,3710,3A,M1,370-F,9/17/24,F,CHOW,6,,287.39,272,,10/28/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513711,NZO/HlLtJ,3711,3A,L2,370-F,9/17/24,F,CHOW,6,,317.03,300,,10/28/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513712,NZO/HlLtJ,3712,3A,K3,370-F,9/17/24,F,CHOW,6,,310,280,,10/28/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513713,NZO/HlLtJ,3713,3A,L3,370-F,9/17/24,F,CHOW,6,,250.35,237,,10/28/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513714,NZO/HlLtJ,3714,3A,M3,370-F,9/17/24,F,CHOW,6,,316.46,303,,10/28/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513715,NZO/HlLtJ,3715,3A,N3,370-F,9/17/24,F,CHOW,6,,305.48,295,,10/28/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
