MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE_RECORDING,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
,C57BL/6J,1,,,,11/9/21,M,CHOW,,,31.2,2/17/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,2,,,,11/9/21,M,CHOW,,,30.5,2/17/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,3,,,,11/9/21,M,CHOW,,,33.1,2/17/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,4,,,,11/9/21,M,CHOW,,,30.9,2/17/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,5,,,,11/9/21,M,CHOW,,,31,2/17/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,6,,,,11/9/21,M,CHOW,,,31.3,2/17/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,7,,,,11/9/21,F,CHOW,,,18.9,2/17/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,8,,,,11/9/21,F,CHOW,,,21.4,2/17/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,9,,,,11/9/21,F,CHOW,,,19.9,2/17/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,10,,,,11/9/21,F,CHOW,,,19,2/17/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,11,,,,11/9/21,F,CHOW,,,21.1,2/17/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,12,,,,11/9/21,F,CHOW,,,21.7,2/17/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,NZO/HlLtJ,13,,,,11/23/21,M,CHOW,,,52.7,2/17/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,NZO/HlLtJ,14,,,,11/23/21,M,CHOW,,,53.3,2/17/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,NZO/HlLtJ,15,,,,11/23/21,M,CHOW,,,47.8,2/17/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,NZO/HlLtJ,16,,,,11/23/21,M,CHOW,,,46.5,2/17/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,NZO/HlLtJ,17,,,,11/23/21,M,CHOW,,,52.1,2/17/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
