MICE_ID_RAR_INDIVIDUAL,ID_MICE,RACK,LOCATION,COHORT,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,DAILY_FOOD_INTAKE_G,DAILY_FOOD_INTAKE_KCAL,BODY_WEIGHT_G,DATE,AIM,COMMENTS,FAT,LEAN,FREE_WATER,TOTAL_WATER,TIME_DATE_DURA,NEW_FOOD_END_SESSION_G,RESEARCH_DIET_FORMULA,LOT_FOOD,COMMENT_TWO
B00002447876,7876,6A,H9,2,7/9/24,F,HFD,8,0,0,0,0,0,18.32,9/3/24,2B_EEGAP,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,2.14,17.15,0.14,13.02,"09:34:18 Sep 3, 2024; 134; ems",NA,NA,NA,NA
B00002447872,7872,6A,K8,2,7/9/24,F,HFD,8,0,0,0,0,0,17.91,9/3/24,2B_EEGAP,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,1.36,17.79,0,13.85,"09:31:31 Sep 3, 2024; 123; ems",NA,NA,NA,NA
B00002447880,7880,6A,L9,2,7/9/24,F,LFD,8,0,0,0,0,0,17.57,9/3/24,2B_EEGAP,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,1.52,17.26,0.24,13.29,"09:28:34 Sep 3, 2024; 128; ems",NA,NA,NA,NA
B00002447881,7881,6A,M9,2,7/9/24,F,LFD,8,0,0,0,0,0,18.88,9/3/24,2B_EEGAP,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,1.71,18.13,0.12,14.05,"09:25:28 Sep 3, 2024; 129; ems",NA,NA,NA,NA
B00002447877,7877,6A,I9,2,7/9/24,F,HFD,8,0,0,0,0,0,19.19,9/3/24,2B_EEGAP,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,1.9,18.23,0.04,14.38,"09:21:38 Sep 3, 2024; 128; ems",NA,NA,NA,NA
B00002447878,7878,6A,J9,2,7/9/24,F,HFD,8,0,0,0,0,0,17.78,9/3/24,2B_EEGAP,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,1.45,17.46,0.2,13.68,"09:18:27 Sep 3, 2024; 128; ems",NA,NA,NA,NA
B00002447873,7873,6A,I8,2,7/9/24,F,HFD,8,0,0,0,0,0,18.6,9/3/24,2B_EEGAP,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,2.04,17.4,0,13.19,"09:15:19 Sep 3, 2024; 123; ems",NA,NA,NA,NA
B00002447874,7874,6A,M8,2,7/9/24,F,HFD,8,0,0,0,0,0,18.45,9/3/24,2B_EEGAP,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,2.02,17.22,0.3,14.75,"09:12:00 Sep 3, 2024; 139; ems",NA,NA,NA,NA
B00002447882,7882,6A,N9,2,7/9/24,F,LFD,8,0,0,0,0,0,17.44,9/3/24,2B_EEGAP,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,1.44,16.89,0.12,13.44,"09:08:54 Sep 3, 2024; 123; ems",NA,NA,NA,NA
B00002447883,7883,6A,H10,2,7/9/24,F,LFD,8,0,0,0,0,0,18.36,9/3/24,2B_EEGAP,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,2.64,16.77,0.11,12.97,"09:05:54 Sep 3, 2024; 123; ems",NA,NA,NA,NA
B00002447875,7875,6A,N8,2,7/9/24,F,HFD,8,0,0,0,0,0,18.8,9/3/24,2B_EEGAP,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,1.91,17.91,0,13.94,"09:02:34 Sep 3, 2024; 139; ems",NA,NA,NA,NA
B00002447879,7879,6A,K9,2,7/9/24,F,HFD,8,0,0,0,0,0,18.55,9/3/24,2B_EEGAP,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,1.76,17.44,0.04,14.15,"08:59:29 Sep 3, 2024; 128; ems",NA,NA,NA,NA
B00002447864,7864,6A,H5,2,7/9/24,M,HFD,8,0,0,0,0,0,25.82,9/3/24,2B_EEGAP,ONLY_ECHO_MRI_NO_ANIMAL_SEPARATION,1.8,24.65,0.19,20.2,"09:37:26 Sep 3, 2024; 137; ems",NA,NA,NA,NA
